country,date,Onset
Latvia,2020-08-06,3.9580504364694473
Latvia,2020-08-07,3.9168283220174587
Latvia,2020-08-08,3.6430649854510184
Latvia,2020-08-09,3.4667798254122215
Latvia,2020-08-10,3.3186226964112513
Latvia,2020-08-11,3.3891852570320076
Latvia,2020-08-12,3.1515518913676046
Latvia,2020-08-13,3.1350630455868087
Latvia,2020-08-14,3.1840446168768186
Latvia,2020-08-15,3.222356935014549
Latvia,2020-08-16,3.1646459747817652
Latvia,2020-08-17,3.17458777885548
Latvia,2020-08-18,3.3954898157129003
Latvia,2020-08-19,3.6944713870029102
Latvia,2020-08-20,3.9022793404461686
Latvia,2020-08-21,4.031280310378273
Latvia,2020-08-22,4.13360814742968
Latvia,2020-08-23,4.331231813773036
Latvia,2020-08-24,4.48811833171678
Latvia,2020-08-25,4.535402521823473
Latvia,2020-08-26,4.593598448108632
Latvia,2020-08-27,4.615906886517944
Latvia,2020-08-28,4.655916585838991
Latvia,2020-08-29,4.38627546071775
Latvia,2020-08-30,4.517943743937924
Latvia,2020-08-31,4.532250242483026
Latvia,2020-09-01,4.628031037827352
Latvia,2020-09-02,4.4536857419980596
Latvia,2020-09-03,4.512124151309409
Latvia,2020-09-04,4.484966052376334
Latvia,2020-09-05,4.433559650824442
Latvia,2020-09-06,4.197866149369544
Latvia,2020-09-07,4.180407371483996
Latvia,2020-09-08,4.212900096993211
Latvia,2020-09-09,4.146459747817653
Latvia,2020-09-10,3.799709020368574
Latvia,2020-09-11,3.496362754607177
Latvia,2020-09-12,3.0526188166828323
Latvia,2020-09-13,2.6413676042677015
Latvia,2020-09-14,2.0725024248302617
Latvia,2020-09-15,1.734238603297769
Latvia,2020-09-16,1.299224054316198
Latvia,2020-09-17,0.94180407371484
Latvia,2020-09-18,0.508729388942774
Latvia,2020-09-19,0.2359359844810863
Latvia,2020-09-20,0.03273520853540252
Lithuania,2020-02-15,0.1879243452958293
Lithuania,2020-02-16,0.2330261881668283
Lithuania,2020-02-17,0.24903006789524734
Lithuania,2020-02-18,0.3326867119301649
Lithuania,2020-02-19,0.32250242483026187
Lithuania,2020-02-20,0.34578079534432593
Lithuania,2020-02-21,0.3661493695441319
Lithuania,2020-02-22,0.4282250242483026
Lithuania,2020-02-23,0.5147914645974783
Lithuania,2020-02-24,0.5962657613967023
Lithuania,2020-02-25,0.7713385063045586
Lithuania,2020-02-26,0.8806983511154218
Lithuania,2020-02-27,1.1590688651794374
Lithuania,2020-02-28,1.3954898157129003
Lithuania,2020-02-29,1.735208535402522
Lithuania,2020-03-01,2.19447138700291
Lithuania,2020-03-02,2.7732783705140642
Lithuania,2020-03-03,3.4898157129000973
Lithuania,2020-03-04,4.27643064985451
Lithuania,2020-03-05,5.287827352085354
Lithuania,2020-03-06,6.44447138700291
Lithuania,2020-03-07,7.838021338506304
Lithuania,2020-03-08,9.476721629485937
Lithuania,2020-03-09,11.642822502424831
Lithuania,2020-03-10,13.444713870029098
Lithuania,2020-03-11,16.098205625606205
Lithuania,2020-03-12,18.571774975751698
Lithuania,2020-03-13,21.71968962172648
Lithuania,2020-03-14,24.11639185257032
Lithuania,2020-03-15,27.16682832201746
Lithuania,2020-03-16,29.765033947623667
Lithuania,2020-03-17,32.76551891367605
Lithuania,2020-03-18,34.61954413191077
Lithuania,2020-03-19,36.47308438409311
Lithuania,2020-03-20,37.74684772065955
Lithuania,2020-03-21,38.37657613967022
Lithuania,2020-03-22,37.89258001939864
Lithuania,2020-03-23,38.63385063045587
Lithuania,2020-03-24,38.325897187196894
Lithuania,2020-03-25,38.030795344325895
